FunctionName, NumberOfBugs
bash-4.2\expr.c->expassign, 2
bash-4.2\expr.c->expr_streval, 1
bash-4.2\expr.c->readtok, 1
bash-4.2\lib\readline\vi_mode.c->rl_vi_yank_to, 1
bash-4.2\subst.c->do_assignment_internal, 1
bash-4.2\lib\readline\input.c->rl_read_key, 2
bash-4.2\lib\readline\vi_mode.c->rl_domove_read_callback, 1
bash-4.2\execute_cmd.c->fix_assignment_words, 4
bash-4.2\lib\sh\zread.c->zsyncfd, 1
bash-4.2\redir.c->do_redirection_internal, 2
bash-4.2\general.c->trim_pathname, 1
bash-4.2\lib\readline\vi_mode.c->rl_vi_change_to, 3
bash-4.2\sig.c->termsig_sighandler, 1
bash-4.2\print_cmd.c->make_command_string_internal, 1
bash-4.2\lib\readline\callback.c->rl_callback_read_char, 1
bash-4.2\print_cmd.c->print_group_command, 1
bash-4.2\execute_cmd.c->execute_pipeline, 3
bash-4.2\expr.c->exp2, 1
bash-4.2\lib\sh\eaccess.c->sh_stat, 2
bash-4.2\subst.c->parameter_brace_expand, 3
bash-4.2\pathexp.c->quote_string_for_globbing, 1
bash-4.2\subst.c->parameter_brace_expand_rhs, 1
bash-4.2\subst.c->extract_dollar_brace_string, 1
bash-4.2\lib\glob\gmisc.c->umatchlen, 8
bash-4.2\subst.c->expand_word_internal, 3
bash-4.2\lib\readline\vi_mode.c->rl_vi_delete_to, 3
